Date,Time,Generation(MW),Demand(MW),Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,Temperature(2M),Humidity(2M),Wind Speed(10M),Remarks,,,,,,
01-07-2024,00:00:00,13521,13670,142,5275,2798,4281,152,0,15,27.61,22.4,99.92,,,,,,,
01-07-2024,01:00:00,12443,13300,818,5690,2658,2922,142,0,30,27.61,22.3,99.9,,,,,,,
01-07-2024,02:00:00,12241,13100,820,5615,2514,2925,142,0,45,27.55,22.25,99.88,,,,,,,
01-07-2024,03:00:00,12211,12800,562,5527,2549,2936,143,0,59,27.49,22.22,99.88,,,,,,,
01-07-2024,04:00:00,11815,11950,129,5502,2406,2714,145,0,59,27.48,22.19,99.9,,,,,,,
01-07-2024,05:00:00,11669,11720,49,5522,2304,2663,146,0,45,27.68,22.35,99.94,,,,,,,
01-07-2024,06:00:00,11049,11049,0,5418,1777,2682,146,3,37,28.03,22.69,99.99,,,,,,,
01-07-2024,07:00:00,11093,11093,0,5591,1588,2761,111,15,42,28.47,22.96,100.01,,,,,,,
01-07-2024,08:00:00,11273,11273,0,5476,1592,3025,111,42,33,28.85,22.96,100.03,,,,,,,
01-07-2024,09:00:00,11627,11680,51,5551,1680,3196,107,66,30,29.22,23.02,100.01,,,,,,,
01-07-2024,10:00:00,11927,11980,51,5460,1901,3332,105,106,25,29.47,23.21,99.96,,,,,,,
01-07-2024,11:00:00,12422,12480,55,5418,2141,3560,105,174,22,29.63,23.41,99.89,,,,,,,
01-07-2024,12:00:00,12784,12880,92,5450,2370,3635,105,182,40,29.63,23.55,99.83,Day Peak,,,,,,
01-07-2024,13:00:00,12965,13100,129,5479,2496,3637,107,201,47,29.54,23.73,99.77,,,,,,,
01-07-2024,14:00:00,12594,12700,101,5114,2628,3526,111,186,23,29.31,23.87,99.75,,,,,,,
01-07-2024,15:00:00,12702,12850,141,5214,2580,3498,113,243,50,28.95,23.73,99.74,,,,,,,
01-07-2024,16:00:00,12510,12680,235,5258,2469,3487,116,124,50,28.46,23.23,99.78,,,,,,,
01-07-2024,17:00:00,11829,12000,226,5011,2258,3284,161,62,55,27.95,22.73,99.83,,,,,,,
01-07-2024,18:00:00,11926,12100,166,4907,2429,3389,161,7,34,27.62,22.39,99.91,,,,,,,
01-07-2024,19:00:00,13233,13420,179,5298,3217,3534,161,0,19,27.42,22.11,99.97,,,,,,,
01-07-2024,20:00:00,14004,14070,63,5390,3437,4003,162,0,8,27.27,21.91,100.02,Evening Peak,,,,,,
01-07-2024,21:00:00,13963,14030,64,5484,3214,4097,157,0,8,27.14,21.81,100,,,,,,,
01-07-2024,22:00:00,13918,13960,40,5473,3188,4098,155,0,0,27.02,21.71,99.95,,,,,,,
01-07-2024,23:00:00,13734,13810,73,5314,3027,4202,152,0,36,26.93,21.61,99.9,,,,,,,
02-07-2024,00:00:00,13094,13180,82,5546,1853,4528,160,0,20,26.84,21.53,99.86,,,,,,,
02-07-2024,01:00:00,12967,13200,223,5199,2259,4324,151,0,35,26.78,21.46,99.83,,,,,,,
02-07-2024,02:00:00,12568,12770,193,5274,1876,4226,154,0,38,26.69,21.39,99.83,,,,,,,
02-07-2024,03:00:00,12016,12170,147,5201,1460,4165,158,0,35,26.62,21.31,99.84,,,,,,,
02-07-2024,04:00:00,11822,11970,141,5274,1314,4052,159,0,26,26.68,21.33,99.86,,,,,,,
02-07-2024,05:00:00,11634,11740,101,5212,1194,4057,161,0,18,27.25,21.75,99.9,,,,,,,
02-07-2024,06:00:00,11258,11350,88,5160,1102,3809,161,9,29,27.84,22,99.94,,,,,,,
02-07-2024,07:00:00,11122,11180,55,5015,1101,3807,163,27,21,28.42,21.96,99.97,,,,,,,
02-07-2024,08:00:00,11107,11150,41,5034,1055,3805,164,52,0,29.13,22.07,99.97,,,,,,,
02-07-2024,09:00:00,11554,11640,82,5361,1128,3817,164,80,6,29.83,22.19,99.96,,,,,,,
02-07-2024,10:00:00,11911,11960,47,5514,1168,3992,157,75,1,30.39,22.32,99.92,,,,,,,
02-07-2024,11:00:00,12313,12370,54,5467,1361,4160,152,170,2,30.8,22.45,99.85,,,,,,,
02-07-2024,12:00:00,12548,12600,50,5094,1804,4303,150,177,10,31.04,22.64,99.79,Day Peak,,,,,,
02-07-2024,13:00:00,12597,12630,32,5170,1773,4244,153,218,49,30.94,23.03,99.74,,,,,,,
02-07-2024,14:00:00,12347,12400,51,5073,1589,4411,157,97,20,30.55,23.36,99.71,,,,,,,
02-07-2024,15:00:00,12111,12250,133,5072,1324,4421,161,119,14,29.87,23.63,99.69,,,,,,,
02-07-2024,16:00:00,11831,11925,90,5101,1025,4448,163,69,16,29.15,23.75,99.69,,,,,,,
02-07-2024,17:00:00,11784,11850,63,5123,1112,4286,164,63,34,28.48,23.44,99.73,,,,,,,
02-07-2024,18:00:00,11871,11950,75,5042,1241,4388,167,10,25,28.16,23.14,99.8,,,,,,,
02-07-2024,19:00:00,12588,12650,59,4876,2167,4338,168,0,31,27.94,22.87,99.88,,,,,,,
02-07-2024,20:00:00,13531,13620,85,5166,2624,4544,170,0,23,27.73,22.63,99.93,,,,,,,
02-07-2024,21:00:00,13729,13800,68,5444,2390,4696,170,0,25,27.52,22.35,99.95,Evening Peak,,,,,,
02-07-2024,22:00:00,13612,13680,65,5509,2162,4769,168,0,14,27.3,22.11,99.94,,,,,,,
02-07-2024,23:00:00,13407,13500,89,5554,2022,4667,160,0,13,27.1,21.89,99.9,,,,,,,
03-07-2024,00:00:00,13723,14080,341,5472,2553,4600,162,0,19,26.92,21.68,99.86,,,,,,,
03-07-2024,01:00:00,12832,12950,113,5625,1640,4401,160,0,23,26.76,21.5,99.84,,,,,,,
03-07-2024,02:00:00,12337,12460,117,5457,1333,4389,160,0,14,26.64,21.36,99.85,,,,,,,
03-07-2024,03:00:00,12016,12120,100,5513,1241,4292,162,0,9,26.58,21.28,99.86,,,,,,,
03-07-2024,04:00:00,11614,11700,82,5486,988,4193,168,0,5,26.7,21.37,99.9,,,,,,,
03-07-2024,05:00:00,11454,11520,63,5365,967,3955,168,0,0,27.4,21.84,99.96,,,,,,,
